"ID","Title","Project","State","Month","ClosedDate","DemoDate","BV_Total_Score","Min_Child_CreatedDate","TTD_Days","T2FU_Days"
"1388258","[Q1 26'] MW Help Chat :)","AI ML COE","Done","Apr-26","07-Apr-2026","31-Mar-2026","5","04-Nov-2025","147",""
"1463243","[Q1 26'] GPT - Document Search V2.0.0 - Automated Pipelines, RBAC, Improved Eval Metrics","AI ML COE","Done","Apr-26","01-Apr-2026","31-Mar-2026","5","14-Feb-2025","410",""
"1463244","[Q1 26'] GPT - Data Search V2.0.0 - Improved Evals, Automated Pipelines, RBAC, Confidence Scores","AI ML COE","Done","Apr-26","01-Apr-2026","31-Mar-2026","5","04-Mar-2025","392",""
"1463245","[Q1 26'] Lumina GPT - Framework - Automated Ingestion, Observability","AI ML COE","Done","Apr-26","01-Apr-2026","31-Mar-2026","5","20-Feb-2025","404",""
"1408331","Authentication using OAuth 2.0 with JWT Tokens and TLS Encryption","API_Integrations","Done","Apr-26","01-Apr-2026","","5","","",""
"1461816","AIS 1.0 Enhancements","Aurigo MW Modernization","Done","May-26","14-May-2026","","3","","",""
"1462059","OLH and Stabilization Feature QPR1 2026","AurigoMasterworks","Done","Apr-26","01-Apr-2026","","1","","",""
"1461486","Enable Admin Module Data for ARS Reports","MW Platform 2.0","Done","May-26","27-May-2026","31-Mar-2026","3","05-Feb-2026","54",""
"1461542","Enable Library Module Data for ARS Reports","MW Platform 2.0","Done","Apr-26","01-Apr-2026","31-Mar-2026","3","04-Feb-2026","55",""
"1463517","Toggle for Project Calendar Date Calculations in ARS","MW Platform 2.0","Done","Apr-26","21-Apr-2026","31-Mar-2026","2","23-Jun-2025","281",""
"1470705","Advanced Filtering Capabilities — Filter Reports by Fields Not in the Report Grid","MW Platform 2.0","Done","Jun-26","16-Jun-2026","26-Jun-2026","3","20-Apr-2026","67",""
"1470893","Admin Reporting Template & ARS Enhancements","MW Platform 2.0","Done","Jun-26","16-Jun-2026","26-Jun-2026","4","17-Sep-2025","282",""
"1476745","ARS 9.0 Regression Bugs","MW Platform 2.0","Done","May-26","27-May-2026","31-Mar-2026","","13-Nov-2025","138",""
"1478677","Dynamic Grid Enhancements & Data Integrity","MWPRO_Configplus","Done","May-26","26-May-2026","","3","","",""
"1414503","Nice-to-Have's PhoneApp","Mobile-NexGen-Aurigo-Build","Done","May-26","19-May-2026","30-Apr-2026","","17-Dec-2025","134",""
"1441916","PhoneApp UI Enhancements I","Mobile-NexGen-Aurigo-Build","Done","Jun-26","11-Jun-2026","11-Jun-2026","2","05-Mar-2026","98",""
"1459058","Onboarding Tampa Bay Water","Mobile-NexGen-Aurigo-Build","Done","May-26","07-May-2026","30-Mar-2026","3","24-Feb-2026","34",""
"1463385","New Aurigo Masterworks Branding","Mobile-NexGen-Aurigo-Build","Done","Apr-26","01-Apr-2026","18-Dec-2025","1","16-Sep-2025","93",""
"1463390","Auto-Save Feature","Mobile-NexGen-Aurigo-Build","Done","Apr-26","01-Apr-2026","12-Dec-2025","1","18-Apr-2025","238",""
"1478697","PoC: Document Annotations and Versioning","Mobile-NexGen-Aurigo-Build","Done","May-26","26-May-2026","20-May-2026","3","12-May-2026","8",""
